arxiv_id,entrypoint,documentclass,docclass_params,pdflatex,lualatex,xelatex,xe<>pdf,xe<>lua
2306.00359,alternating_submit.tex,revtex4-1,"[%reprint,superscriptaddress,amsmath,amssymb,aps,]",0.0,0.0,0.0,False,False
2306.00702,paper.tex,article,"[11pt,letterpaper]",12.0,12.0,12.0,False,False
2306.00154,Caps_final_fin.tex,article,"[10pt,a4paper]",12.0,12.0,12.0,False,False
2306.00537,main_v2.tex,article,"[a4paper,10pt]",0.0,0.0,0.0,False,False
2306.03941,biblio_covid19.tex,article,,12.0,12.0,12.0,False,False
2306.05241,acl2023.tex,article,"[11pt, hyperref={hyperfootnotes=true}]",0.0,0.0,0.0,False,False
2306.00733,20230513_arXiv_Phaselock.tex,article,[a4paper],0.0,0.0,12.0,False,False
2306.00165,main.tex,jfm,,0.0,12.0,0.0,False,False
2306.00350,arxiv_version.tex,article,,0.0,0.0,0.0,False,False
2306.00506,main.tex,revtex4-2,"[reprint,amsmath,amssymb,aps,floatfix,]",12.0,12.0,12.0,False,False
2306.00101,2306.00101,article,,0.0,0.0,0.0,False,True
2306.12602,main.tex,article,"[notitlepage, 12pt]",0.0,0.0,0.0,False,False
2306.00334,2306.00334,amsart,[12pt],0.0,0.0,0.0,False,False
2306.14506,2306.14506,article,[12pt],0.0,0.0,0.0,False,False
2306.00562,DLM-KillingDuality.tex,amsart,"[a4paper,10pt,reqno]",0.0,0.0,0.0,False,False
2306.00750,main.tex,article,[11pt],0.0,0.0,0.0,False,False
2306.07778,main.tex,elsarticle,"[preprint,authoryear,5p]",0.0,0.0,0.0,False,False
2306.00139,AgI_HSD-RS-RCR.tex,revtex4-1,"[aps,prl,twocolumn,superscriptaddress]",0.0,12.0,12.0,False,False
2306.00554,main.tex,egpubl,,12.0,12.0,12.0,False,False
2306.00130,Lambda-Moran-submission.tex,elsarticle,"[10pt,reqno]",0.0,12.0,12.0,False,False
2306.02667,100keVDCRF.tex,elsarticle,"[5p,sort&compress]",12.0,12.0,12.0,False,False
2306.00994,ChaoticMillingInteractingSwarmsFinal.tex,revtex4-1,"[%aip,amsmath,amssymb,reprint,%]",12.0,12.0,12.0,False,False
2306.00163,solo_paper_psf.tex,aa,[longauth],12.0,12.0,12.0,False,False
2306.02062,highorder.tex,IEEEtran,[journal],0.0,0.0,0.0,False,False
2306.02096,AI_THE.tex,elsarticle,"[12pt,3p,review,]",12.0,12.0,12.0,False,False
2306.00190,REFERENCES.tex,ceurart,[],0.0,0.0,12.0,False,False
2306.01284,draft.tex,article,,0.0,0.0,0.0,False,False
2306.10905,main.tex,revtex4,"[pre, twocolumn, amsmath, amssymb, superscriptaddress]",0.0,0.0,0.0,False,False
2306.00394,fwm-manuscript-arxiv.tex,revtex4-1,"[aps,pre,twocolumn,reprint,showpacs,superscriptaddress,groupedaddress]",0.0,0.0,0.0,False,False
2306.00358,cuda_v1.tex,article,[11pt],0.0,0.0,0.0,False,False
2306.00531,2306.00531,amsart,"[12pt, reqno]",0.0,0.0,0.0,False,False
2306.00367,main.tex,article,,0.0,12.0,0.0,False,False
2306.00155,2306.00155,amsart,"[12pt, english]",0.0,12.0,0.0,False,False
2306.01073,main.tex,article,[11pt],0.0,0.0,0.0,False,False
2306.01625,dotted_limits_arxiv.tex,amsart,[a4paper],0.0,0.0,0.0,False,False
2306.00581,main.tex,article,"[11pt,twocolumn,a4paper]",0.0,12.0,0.0,False,False
2306.01661,main.tex,revtex4-1,"[%aps,showkeys,amsmath,amssymb,superscriptaddress, % avoids a very long list of author affiliationsfloatfix,]",12.0,12.0,12.0,False,False
2306.00575,paper.tex,acmart,"[10pt,sigconf,nonacm,screen]",12.0,12.0,12.0,False,False
2306.05803,templateArxiv.tex,article,,0.0,0.0,0.0,False,False
2306.00116,file.tex,amsart,,0.0,0.0,0.0,False,False
2306.00120,0_vmap.tex,vgtc,"[preprint,journal]",0.0,0.0,12.0,False,False
2306.00782,main.tex,revtex4-2,"[%reprint,amsmath,amssymb,aps,]",0.0,0.0,0.0,False,False
2306.04587,main.tex,article,"[12pt, %a4 paper]",0.0,0.0,0.0,False,True
2306.00187,main.tex,IEEEtran,"[10pt, conference, anonymous]",0.0,0.0,0.0,False,False
2306.01294,2306.01294,amsart,[12pt],0.0,12.0,12.0,False,False
2306.00510,2306.00510,article,"[a4paper,12pt]",0.0,0.0,0.0,False,False
2306.03395,0.main.tex,acmart,[acmlarge],12.0,12.0,12.0,False,False
2306.00142,Scalar_nonlocal.tex,elsarticle,"[final,12pt,a4paper]",12.0,12.0,12.0,False,False
