time,expl,nn
281,4.45527375,4.488533666
282,4.451799717,4.487975826
283,4.453758367,4.487287395
284,4.44115302,4.486479743
285,4.436213237,4.485897995
286,4.45258654,4.485105273
287,4.427669463,4.484286612
288,4.45219099,4.483414373
289,4.442196617,4.482557136
290,4.44416633,4.481517241
291,4.43939876,4.48061499
292,4.444848068,4.47950422
293,4.408780323,4.478409623
294,4.433711743,4.477145408
295,4.431551013,4.475941323
296,4.439398249,4.474802599
297,4.426979799,4.473388473
298,4.449349186,4.472200086
299,4.429627368,4.470825447
300,4.455626101,4.469513212
301,4.431443805,4.468087118
302,4.441551496,4.466582801
303,4.451440277,4.465178565
304,4.434217389,4.463624314
305,4.42690262,4.462084664
306,4.432919979,4.460486809
307,4.433715527,4.458742582
308,4.429414878,4.457202238
309,4.432033218,4.455746113
310,4.423939823,4.454250902
311,4.446559559,4.452782471
312,4.428200039,4.451252304
313,4.431718414,4.449848888
314,4.435187864,4.448544586
315,4.447309276,4.447292869
316,4.421421962,4.430002514
317,4.397252682,4.389533771
318,4.380515769,4.37453804
319,4.371242011,4.362015336
320,4.381705247,4.350678031
321,4.359548755,4.339850866
322,4.354955451,4.329397563
323,4.328716506,4.319387625
324,4.320399959,4.309707886
325,4.320852399,4.300182697
326,4.315353917,4.290805665
327,4.31794504,4.281380224
328,4.303365176,4.272261649
329,4.302051437,4.263163868
330,4.294386421,4.254173155
331,4.285764672,4.245423908
332,4.287474531,4.236534755
333,4.286106325,4.227648845
334,4.274975438,4.219002359
335,4.28180609,4.210435497
336,4.265403539,4.201889555
337,4.262125006,4.193312014
338,4.255197998,4.185048295
339,4.25690801,4.176906723
340,4.243633516,4.169042144
341,4.252408911,4.161358538
342,4.249057456,4.153936958
343,4.247858881,4.146835026
344,4.244847291,4.139965357
345,4.232815202,4.133426234
346,4.23009794,4.127460766
347,4.234836521,4.121963717
348,4.237386248,4.117069613
349,4.231224775,4.11266044
350,4.222510411,4.108791968
351,4.22946165,4.105376431
352,4.22493542,4.102806894
353,4.222262386,4.100581694
354,4.216633555,4.098964022
355,4.220871572,4.097974565
356,4.218094794,4.097414801
357,4.219555703,4.097447323
358,4.214425262,4.097867378
359,4.216823772,4.098519181
360,4.214482253,4.099423922
361,4.215941586,4.100505499
362,4.21365126,4.101729747
363,4.213747382,4.102923727
364,4.213100526,4.104025375
